Open,High,Low,Adj Close,Date
562.56,702.91,560.52,667.76,3/3/2014
567.23,570.48,553.27,559.79,3/2/2014
549.92,573.38,539.29,565.61,3/1/2014
579.7,584.14,545.17,549.26,2/28/2014
581.65,594.05,566.62,578.77,2/27/2014
537.04,603.8,532.58,582.69,2/26/2014
540.24,541.38,420.41,538.71,2/25/2014
606.04,607.61,538.7,546.32,2/24/2014
606.47,639.91,599.7,605.82,2/23/2014
574.24,614.48,558.58,605.42,2/22/2014
556.88,582.96,530.47,574.16,2/21/2014
623.09,627.73,556.14,556.14,2/20/2014
625.97,631.77,618.7,623.03,2/19/2014
627.16,645.76,612.54,626.6,2/18/2014
614.23,656.95,607.31,626.27,2/17/2014
651.3,665.1,584.17,616.63,2/16/2014
660.9,661.84,632.84,650.92,2/15/2014
601.17,691.72,541.04,661.99,2/14/2014
651.08,657.99,601.91,605.24,2/13/2014
672.38,672.9,643.04,651.72,2/12/2014
683.5,712.46,636.66,672.17,2/11/2014
681.32,703.71,550.5,681.03,2/10/2014
671.46,712.27,655.25,682.9,2/9/2014
699.57,721.82,661.87,673.92,2/8/2014
783.2,783.2,654.35,712.4,2/7/2014
815.59,819.81,770.59,781.55,2/6/2014
829.96,837.32,811.91,811.91,2/5/2014
823.77,840.17,820.94,827.96,2/4/2014
824.08,826.48,807.22,823.83,2/3/2014
832.9,844.72,820.67,825.37,2/2/2014
828.61,853.52,827.11,832.58,2/1/2014
818.43,831.87,812.6,829.92,1/31/2014
826.02,830.5,799.06,819.03,1/30/2014
809.96,836.87,809.85,826,1/29/2014
774.02,832.5,766.98,812.51,1/28/2014
884.6,893,757.11,771.39,1/27/2014
853.68,897.02,844.86,885.28,1/26/2014
796.24,861.45,792.96,853.61,1/25/2014
822.43,822.43,783.58,797.07,1/24/2014
845.46,851.57,819.32,822.04,1/23/2014
867.21,870.15,837.36,845.59,1/22/2014
869.65,881.2,855.93,863.91,1/21/2014
871.39,886.39,853.87,870.2,1/20/2014
839.66,870.96,825.53,870.96,1/19/2014
816.07,841.49,816.07,840,1/18/2014
834.49,842.91,797.63,814.64,1/17/2014
